dyad,ccode1,ccode2,statea,stateb,statei,statej,daysign,monthsign,yearsign,dayforce,monthforce,yearforce,censor,month_count,maxhurdles,maxpolconv,maxchecks,minpolity,minratio,min_laworder,ln_mingdp,min_govexp,comlang,comcol,atopally,s2un,log_gapgdppc,maxcomlaw,fdi_host,fdi_home,coldwar,maxexecleft,BIT_Status,_st,_d,_t,_t0
70317,70,317,MEX,SLO,Mexico,Slovakia,26,10,2007,,,,0,14,2,.76999998,5,8,.87,3,18.48082,10.23024,0,0,,.63934427,8.8243866,0,2.6919179,.79933459,0,1,Not in Force,1,0,14,0
70732,70,732,MEX,ROK,Mexico,South Korea,14,11,2000,27,6,2002,1,19,2,.75999999,5,8,.33000001,,20.602751,11.14315,0,0,0,.90476191,9.0306883,0,2.8423581,.93720257,0,1,In Force,1,1,19,0
70750,70,750,MEX,IND,Mexico,India,21,5,2007,,,,0,7,2,.74000001,17,8,.80000001,3,21.045469,10.1431,0,0,,.84615391,9.1795378,1,2.1885951,.80995768,0,1,Not in Force,1,0,7,0
80040,80,40,BLZ,CUB,Belize,Cuba,8,3,1998,16,3,1999,1,12,1,0,3,,.40000001,,14.34012,14.33498,0,0,0,1,6.2262368,1,2.7580199,.0117903,0,1,In Force,1,1,12,0
80710,80,710,BLZ,CHN,Belize,China,16,1,1999,,,,0,107,1,0,3,,.5,,14.37773,13.50598,0,0,0,.86666667,8.4243069,1,3.6627531,.0013655,0,1,Not in Force,1,0,107,0
80713,80,713,BLZ,TAW,Belize,Taiwan,16,1,1999,,,,0,107,1,.75,3,,.5,,14.37773,,0,0,0,,9.6182308,1,7.4691062,1.479447,0,0,Not in Force,1,0,107,0
90040,90,40,GUA,CUB,Guatemala,Cuba,20,8,1999,10,8,2002,1,36,1,.43000001,2,-7,0,2,17.883459,6.3216362,1,1,0,.87234038,7.870851,0,.946738,-.00035250001,0,1,In Force,1,1,36,0
90316,90,316,GUA,CZR,Guatemala,Czech Republic,8,7,2003,29,4,2005,1,21,2,.73000002,5,8,.69999999,2,17.98716,9.6006699,0,0,,.68000001,9.4819984,0,1.201319,.22566751,0,1,In Force,1,1,21,0
90713,90,713,GUA,TAW,Guatemala,Taiwan,2,11,1999,1,12,2001,1,25,1,.75,3,8,0,2,17.883459,,0,0,0,,9.7375975,0,.946738,1.479447,0,0,In Force,1,1,25,0
90732,90,732,GUA,ROK,Guatemala,South Korea,1,8,2000,17,8,2002,1,24,1,.75999999,4,8,0,,17.917089,7.002615,0,0,0,1,9.5084972,0,1.335223,.93720257,0,0,In Force,1,1,24,0
91713,91,713,HON,TAW,Honduras,Taiwan,26,2,1996,26,10,1998,1,32,1,.75,2,6,.40000001,3,16.663639,,0,0,0,,9.707799,0,1.848832,1.328212,0,0,In Force,1,1,32,0
92080,92,80,SAL,BLZ,El Salvador,Belize,4,12,2001,,,,0,72,2,.47999999,3,,.5,,14.51731,10.4885,0,0,1,1,7.7812958,1,2.0198801,.000057400001,0,0,Not in Force,1,0,72,0
92093,92,93,SAL,NIC,El Salvador,Nicaragua,23,1,1999,8,7,2000,1,18,2,.75,4,7,.2,3,16.094549,10.01995,1,1,1,1,8.1148748,0,7.5258322,.4316189,0,0,In Force,1,1,18,0
92135,92,135,SAL,PER,El Salvador,Peru,13,6,1996,15,12,1996,1,6,2,.44999999,4,1,.25,3,17.15032,9.3481131,1,1,1,1,5.4234452,0,6.2122798,.0232527,0,0,In Force,1,1,6,0
92150,92,150,SAL,PAR,El Salvador,Paraguay,30,1,1998,8,11,1998,1,10,2,.75,4,6,.67000002,3,16.745581,9.7479382,1,1,1,1,7.4674168,0,4.3192801,.0083275,0,0,In Force,1,1,10,0
92165,92,165,SAL,URU,El Salvador,Uruguay,24,8,2000,23,5,2003,1,33,2,.55000001,4,7,.47,3,17.125219,10.17161,1,1,1,1,8.0306892,0,1.320217,.0026289001,0,0,In Force,1,1,33,0
92316,92,316,SAL,CZR,El Salvador,Czech Republic,29,11,1999,28,3,2001,1,16,2,.73000002,5,7,.63999999,3,17.25161,10.01995,0,0,0,.65217388,9.3083096,0,1.731289,.14918891,0,1,In Force,1,1,16,0
